Right Knee,Left Knee,Right Ankle,Left Ankle,Right Heel,Left Heel,Right Foot Index,Left Foot Index,Pose ID
"(0.3703097701072693, 0.6113228797912598, 0.04581684619188309, 0.9999611377716064, 0.9999934434890747)","(0.3841378390789032, 0.616643488407135, -0.04588267579674721, 0.9999654293060303, 0.9999923706054688)","(0.3938763737678528, 0.7392681837081909, 0.1169462576508522, 0.6733344197273254, 0.9999731779098511)","(0.4192136228084564, 0.6335288286209106, 0.03837532177567482, 0.8885375261306763, 0.9999798536300659)","(0.4139725863933563, 0.841709315776825, 0.16899657249450684, 0.7888832688331604, 0.9995507597923279)","(0.4127659201622009, 0.6934500932693481, 0.16294372081756592, 0.81769859790802, 0.9999328851699829)","(0.4170069098472595, 0.8593519330024719, 0.17347502708435059, 0.8717442154884338, 0.998428463935852)","(0.40698719024658203, 0.70381098985672, 0.17635826766490936, 0.8447098731994629, 0.999930739402771)",6
"(0.36374959349632263, 0.6113393306732178, 0.06778773665428162, 0.9999858736991882, 0.9999992847442627)","(0.3907361328601837, 0.6008415818214417, -0.06787265092134476, 0.9999906420707703, 0.9999996423721313)","(0.4253186285495758, 0.647932767868042, 0.18630512058734894, 0.7351550459861755, 0.9999818801879883)","(0.4502463638782501, 0.6533710360527039, -0.01372563187032938, 0.9651085138320923, 0.9999927282333374)","(0.456386536359787, 0.7922739386558533, 0.24191848933696747, 0.8449987173080444, 0.9999598264694214)","(0.4925023019313812, 0.7929270267486572, 0.038004375994205475, 0.9416739344596863, 0.9999605417251587)","(0.4576275050640106, 0.8233641386032104, 0.24404926598072052, 0.895066499710083, 0.9998917579650879)","(0.4874913692474365, 0.822748064994812, 0.042627837508916855, 0.9356663227081299, 0.9999525547027588)",7
"(0.36724090576171875, 0.6138215661048889, 0.06463329493999481, 0.9999852776527405, 0.9999986886978149)","(0.38869601488113403, 0.6061022877693176, -0.0647406056523323, 0.9999906420707703, 0.9999985694885254)","(0.43324050307273865, 0.6698675751686096, 0.167771115899086, 0.735348105430603, 0.9999885559082031)","(0.4444396495819092, 0.66238933801651, 0.008722709491848946, 0.966288685798645, 0.9999837875366211)","(0.4779588282108307, 0.7818557024002075, 0.24218757450580597, 0.8546583652496338, 0.9999309778213501)","(0.475175142288208, 0.7720276713371277, 0.12299031764268875, 0.9452120065689087, 0.9999206066131592)","(0.4874365031719208, 0.8128122687339783, 0.2468119114637375, 0.8950389623641968, 0.9997593760490417)","(0.4736132323741913, 0.7973610162734985, 0.1341419667005539, 0.9360964894294739, 0.9999059438705444)",7
"(0.37043264508247375, 0.6137752532958984, 0.06417912989854813, 0.999984860420227, 0.9999990463256836)","(0.39126309752464294, 0.6076946258544922, -0.06427789479494095, 0.9999907612800598, 0.9999990463256836)","(0.44011712074279785, 0.6698472499847412, 0.16308683156967163, 0.7281401753425598, 0.9999921321868896)","(0.45098942518234253, 0.6650670170783997, -0.03475449979305267, 0.9676105380058289, 0.9999922513961792)","(0.48375099897384644, 0.7534149289131165, 0.23381495475769043, 0.8616332411766052, 0.9999376535415649)","(0.46046650409698486, 0.8031299114227295, 0.06795532256364822, 0.9477118253707886, 0.9999390840530396)","(0.4956575930118561, 0.7655225396156311, 0.23830284178256989, 0.8958688974380493, 0.9997877478599548)","(0.45729443430900574, 0.8220278024673462, 0.076975516974926, 0.9343868494033813, 0.9999204874038696)",7
"(0.3740517497062683, 0.6129742860794067, 0.06234712898731232, 0.9999808669090271, 0.9999963045120239)","(0.3904200792312622, 0.6094897985458374, -0.06244790181517601, 0.9999857544898987, 0.9999926090240479)","(0.43997687101364136, 0.6910218000411987, 0.12094893306493759, 0.7441016435623169, 0.9999892711639404)","(0.4603722095489502, 0.640548586845398, -0.04512593150138855, 0.9617261290550232, 0.9999799728393555)","(0.46964091062545776, 0.8174575567245483, 0.1765364706516266, 0.8710707426071167, 0.999729573726654)","(0.45729243755340576, 0.7238359451293945, 0.10742901265621185, 0.9323960542678833, 0.9998533725738525)","(0.4611319303512573, 0.8432525396347046, 0.18057182431221008, 0.899803102016449, 0.998914361000061)","(0.45505526661872864, 0.7423697710037231, 0.12531541287899017, 0.9121748805046082, 0.9998509883880615)",7
"(0.376628577709198, 0.6085025668144226, 0.067172110080719, 0.9999777674674988, 0.9999979734420776)","(0.3906177878379822, 0.6084235906600952, -0.06734327971935272, 0.9999814033508301, 0.9999972581863403)","(0.4409734308719635, 0.6879518628120422, 0.1037362739443779, 0.7437254190444946, 0.9999902248382568)","(0.4594475030899048, 0.6168324947357178, -0.03159599006175995, 0.9204285740852356, 0.9999855756759644)","(0.4596134126186371, 0.8169374465942383, 0.10270912200212479, 0.8786929845809937, 0.9998039603233337)","(0.4373844861984253, 0.6804908514022827, 0.11072313040494919, 0.8870198726654053, 0.999934196472168)","(0.4525192379951477, 0.8440810441970825, 0.1001170426607132, 0.903519332408905, 0.9990890026092529)","(0.4313620328903198, 0.7204316854476929, 0.1262913942337036, 0.8659146428108215, 0.9999319314956665)",7
"(0.4514442980289459, 0.6352826952934265, 0.07709988951683044, 0.9999846816062927, 0.9999998807907104)","(0.47225725650787354, 0.6216554045677185, -0.07725520431995392, 0.9999803304672241, 0.9999996423721313)","(0.5001581907272339, 0.7248140573501587, 0.1132836863398552, 0.8146807551383972, 0.9999909400939941)","(0.5254427194595337, 0.6970890164375305, -0.12749746441841125, 0.8641476035118103, 0.999991774559021)","(0.5193377137184143, 0.8500884771347046, 0.13512614369392395, 0.887837827205658, 0.9999754428863525)","(0.5488649010658264, 0.8520770072937012, -0.17665694653987885, 0.8567805290222168, 0.9999490976333618)","(0.5204727053642273, 0.8748704195022583, 0.13363733887672424, 0.9186552166938782, 0.9999183416366577)","(0.550220787525177, 0.8847470283508301, -0.18380439281463623, 0.833807647228241, 0.9999104738235474)",8
"(0.45593348145484924, 0.6336266994476318, 0.07501085847616196, 0.9999839663505554, 0.9999991655349731)","(0.4751969873905182, 0.6203650832176208, -0.07513405382633209, 0.9999814629554749, 0.9999994039535522)","(0.49918413162231445, 0.7251152396202087, 0.16843515634536743, 0.7690719366073608, 0.9999854564666748)","(0.5262246131896973, 0.6959788203239441, -0.05132872983813286, 0.8751273155212402, 0.9999946355819702)","(0.5181467533111572, 0.8573154211044312, 0.22648543119430542, 0.8804512619972229, 0.9999662637710571)","(0.5699384212493896, 0.8173221349716187, -0.03225823491811752, 0.8697136044502258, 0.9999685287475586)","(0.5181190371513367, 0.8831286430358887, 0.22802236676216125, 0.9091249108314514, 0.9998763799667358)","(0.5720182061195374, 0.8425113558769226, -0.027274463325738907, 0.846234917640686, 0.9999547004699707)",8
"(0.45501482486724854, 0.6287188529968262, 0.06754574924707413, 0.9999818801879883, 0.999997615814209)","(0.4784585237503052, 0.6201168298721313, -0.06768728792667389, 0.9999821782112122, 0.9999988079071045)","(0.5100902318954468, 0.7048689126968384, 0.20092226564884186, 0.748953640460968, 0.9999712705612183)","(0.517867386341095, 0.6959916949272156, 0.02893424592912197, 0.8856731057167053, 0.9999898672103882)","(0.5607850551605225, 0.7396827936172485, 0.2967793047428131, 0.8831623792648315, 0.9999366998672485)","(0.5257900357246399, 0.8437982797622681, 0.11878038197755814, 0.8813195824623108, 0.999954104423523)","(0.5664054751396179, 0.762664794921875, 0.3034566640853882, 0.9081079959869385, 0.999847412109375)","(0.5315741300582886, 0.8668332695960999, 0.1271432638168335, 0.8557530641555786, 0.9999405145645142)",8
"(0.4529711902141571, 0.6163429021835327, 0.0723901316523552, 0.9999818205833435, 0.999998927116394)","(0.47605636715888977, 0.6057394742965698, -0.07248136401176453, 0.9999833703041077, 0.9999990463256836)","(0.5132502317428589, 0.6618093848228455, 0.1915685534477234, 0.712530791759491, 0.9999817609786987)","(0.5035979151725769, 0.7057149410247803, -0.0070524378679692745, 0.8966314196586609, 0.9999896287918091)","(0.5506813526153564, 0.6995638608932495, 0.2874302268028259, 0.881201982498169, 0.9999843835830688)","(0.5153772830963135, 0.8618242740631104, 0.03475172072649002, 0.8930080533027649, 0.999951958656311)","(0.5549695491790771, 0.7233036756515503, 0.2927670180797577, 0.9042423367500305, 0.9999650716781616)","(0.5125191807746887, 0.8855117559432983, 0.03618953004479408, 0.8681374788284302, 0.9999217987060547)",8
"(0.4522393047809601, 0.6118886470794678, 0.03970463201403618, 0.9999820590019226, 0.9999990463256836)","(0.4778918921947479, 0.6004108190536499, -0.039875078946352005, 0.9999825358390808, 0.9999980926513672)","(0.49664613604545593, 0.7097264528274536, 0.07246503978967667, 0.7390938997268677, 0.9999933242797852)","(0.5183999538421631, 0.6414880156517029, 0.10295422375202179, 0.9011346101760864, 0.999969482421875)","(0.5104533433914185, 0.8446308970451355, 0.06423754245042801, 0.8924917578697205, 0.9999455213546753)","(0.5428232550621033, 0.7065540552139282, 0.22571158409118652, 0.8986960649490356, 0.9999500513076782)","(0.5081778764724731, 0.8686211109161377, 0.060822904109954834, 0.9131293892860413, 0.99977046251297)","(0.5436388254165649, 0.7289298176765442, 0.23797538876533508, 0.8776258826255798, 0.999962568283081)",8
"(0.4038676619529724, 0.5544782280921936, 0.03697337582707405, 0.9999814033508301, 0.9999990463256836)","(0.4275761544704437, 0.5442032217979431, -0.03707744926214218, 0.9999839067459106, 0.9999979734420776)","(0.43698012828826904, 0.6367389559745789, 0.05880843475461006, 0.8555748462677002, 0.9999700784683228)","(0.45424962043762207, 0.6138148307800293, -0.034639421850442886, 0.9338082075119019, 0.9999315738677979)","(0.45946791768074036, 0.7283629179000854, 0.04948484152555466, 0.893351137638092, 0.9999508857727051)","(0.4672105312347412, 0.7082772850990295, -0.03053097054362297, 0.9241853356361389, 0.9998964071273804)","(0.4606192708015442, 0.745631754398346, 0.04644308239221573, 0.9370558857917786, 0.999849796295166)","(0.4661885201931, 0.7245450019836426, -0.030746133998036385, 0.9077271819114685, 0.9998689889907837)",9
"(0.4030705988407135, 0.5553662180900574, 0.04366661608219147, 0.9999814629554749, 0.9999996423721313)","(0.4269413650035858, 0.5423388481140137, -0.04378105327486992, 0.9999843835830688, 0.9999995231628418)","(0.4347975552082062, 0.6359376907348633, 0.10229066759347916, 0.8580831289291382, 0.9999854564666748)","(0.45848560333251953, 0.62740159034729, -0.035009559243917465, 0.9402003288269043, 0.9999891519546509)","(0.45788756012916565, 0.7283000349998474, 0.10935227572917938, 0.90122389793396, 0.9999635219573975)","(0.49243924021720886, 0.7189813852310181, -0.054481662809848785, 0.9315649271011353, 0.9999675750732422)","(0.46011799573898315, 0.7442573308944702, 0.10787508636713028, 0.940945565700531, 0.9998797178268433)","(0.4937378168106079, 0.739250659942627, -0.057063281536102295, 0.9164586663246155, 0.9999496936798096)",9
"(0.40186887979507446, 0.5538986921310425, 0.05188858136534691, 0.9999812245368958, 0.9999990463256836)","(0.4255557358264923, 0.543182909488678, -0.0520390160381794, 0.9999844431877136, 0.9999988079071045)","(0.4347369074821472, 0.635768473148346, 0.0927089974284172, 0.8548031449317932, 0.9999692440032959)","(0.4558286964893341, 0.6252796649932861, 0.0005120013956911862, 0.9445595741271973, 0.9999469518661499)","(0.4573467969894409, 0.728202223777771, 0.10617860406637192, 0.9055740833282471, 0.9998974800109863)","(0.48501721024513245, 0.7068876624107361, 0.04255010932683945, 0.9370664358139038, 0.9998422861099243)","(0.4591301679611206, 0.745798647403717, 0.10549090057611465, 0.941659688949585, 0.9995996356010437)","(0.4856484532356262, 0.7355875968933105, 0.046175114810466766, 0.9221217632293701, 0.9998237490653992)",9
"(0.40147459506988525, 0.5518948435783386, 0.041541386395692825, 0.9999798536300659, 0.9999977350234985)","(0.42545855045318604, 0.5426175594329834, -0.04168360307812691, 0.9999822378158569, 0.9999954700469971)","(0.4331411123275757, 0.6335763931274414, 0.0912175327539444, 0.8102397918701172, 0.9999231100082397)","(0.4532094895839691, 0.622051477432251, 0.015604883432388306, 0.9336126446723938, 0.9998742341995239)","(0.4516929090023041, 0.7234023809432983, 0.10228750854730606, 0.8912057876586914, 0.999546468257904)","(0.46164751052856445, 0.6957224011421204, 0.05064769461750984, 0.924676775932312, 0.9994484782218933)","(0.45338746905326843, 0.7391920685768127, 0.10174690186977386, 0.9306522607803345, 0.9982989430427551)","(0.46287205815315247, 0.7093121409416199, 0.05402320250868797, 0.9067662954330444, 0.9993005990982056)",9
"(0.4001306891441345, 0.5295733213424683, 0.057343725115060806, 0.9999805092811584, 0.9999997615814209)","(0.418518990278244, 0.5260928273200989, -0.0574406273663044, 0.9999828934669495, 0.9999996423721313)","(0.42589011788368225, 0.6194282174110413, 0.12895384430885315, 0.7712341547012329, 0.9999799728393555)","(0.43276363611221313, 0.6203211545944214, -0.03677676245570183, 0.9369866847991943, 0.9999737739562988)","(0.4412553310394287, 0.697317898273468, 0.18471769988536835, 0.8780074715614319, 0.999955415725708)","(0.44083404541015625, 0.7089799642562866, -0.01010943204164505, 0.9301186203956604, 0.999915361404419)","(0.4396573603153229, 0.7094379663467407, 0.1881794035434723, 0.9135395884513855, 0.9998501539230347)","(0.43784064054489136, 0.7241421937942505, -0.008246531710028648, 0.9078991413116455, 0.9998681545257568)",9
"(0.4664475917816162, 0.5876680612564087, 0.06416642665863037, 0.9999874234199524, 0.9999997615814209)","(0.4824123978614807, 0.5783777832984924, -0.06426966935396194, 0.9999803900718689, 0.9999996423721313)","(0.514192521572113, 0.6368086934089661, 0.1791120022535324, 0.6657676100730896, 0.9999977350234985)","(0.5443375706672668, 0.6073922514915466, -0.03297605365514755, 0.9460812211036682, 0.9999980926513672)","(0.5322423577308655, 0.754518449306488, 0.24528101086616516, 0.7686356902122498, 0.9999872446060181)","(0.5732929110527039, 0.7467159032821655, -0.0006394675001502037, 0.9098588824272156, 0.9999865293502808)","(0.5296884179115295, 0.7753444314002991, 0.2502868175506592, 0.8347423076629639, 0.9999613761901855)","(0.5708577632904053, 0.7740988731384277, 0.0031806151382625103, 0.8900339603424072, 0.9999812841415405)",10
"(0.47465813159942627, 0.5838099122047424, 0.0772615447640419, 0.9999883770942688, 0.9999997615814209)","(0.4825502038002014, 0.5790858268737793, -0.07726409286260605, 0.9999821186065674, 0.9999992847442627)","(0.5197597146034241, 0.639214038848877, 0.18199734389781952, 0.6830670237541199, 0.9999967813491821)","(0.5425090193748474, 0.6101667881011963, -0.051714010536670685, 0.9514473676681519, 0.9999947547912598)","(0.5325877666473389, 0.7552301287651062, 0.2688930928707123, 0.7846721410751343, 0.9999771118164062)","(0.5963925719261169, 0.7286843061447144, -0.015739254653453827, 0.918825089931488, 0.9999666213989258)","(0.5289983749389648, 0.7765384912490845, 0.27599242329597473, 0.8432214260101318, 0.9999233484268188)","(0.5989499092102051, 0.7522816061973572, -0.011049130000174046, 0.9009273052215576, 0.9999629259109497)",10
"(0.47675976157188416, 0.5779613852500916, 0.07134836167097092, 0.9999887943267822, 0.9999996423721313)","(0.48756885528564453, 0.5805633664131165, -0.07140083611011505, 0.9999831318855286, 0.9999991655349731)","(0.5272136330604553, 0.6390353441238403, 0.1774529367685318, 0.7006189823150635, 0.9999961853027344)","(0.548958420753479, 0.6138772964477539, -0.011009398847818375, 0.9559158682823181, 0.9999951124191284)","(0.5291597843170166, 0.7460678815841675, 0.2512665092945099, 0.8022270202636719, 0.9999809265136719)","(0.5973184108734131, 0.7026649117469788, 0.045324232429265976, 0.9267651438713074, 0.9999616146087646)","(0.5246073603630066, 0.7640433311462402, 0.257809042930603, 0.8539886474609375, 0.9999252557754517)","(0.6021953821182251, 0.7284286022186279, 0.05225583538413048, 0.9104388356208801, 0.9999537467956543)",10
"(0.4997591972351074, 0.5833238363265991, 0.07982659339904785, 0.9999901056289673, 0.9999997615814209)","(0.49879929423332214, 0.5918461084365845, -0.07989543676376343, 0.9999856352806091, 0.9999997615814209)","(0.5548657178878784, 0.6417988538742065, 0.1486690789461136, 0.6863497495651245, 0.999992847442627)","(0.5559230446815491, 0.6202797889709473, -0.09975294768810272, 0.9604629874229431, 0.9999961853027344)","(0.5279190540313721, 0.7353003025054932, 0.24056878685951233, 0.8094265460968018, 0.9999732971191406)","(0.5873256921768188, 0.7372429370880127, 0.0019318695412948728, 0.9364609122276306, 0.9999587535858154)","(0.5190941691398621, 0.7433600425720215, 0.2483445703983307, 0.8501355648040771, 0.9999102354049683)","(0.5860143303871155, 0.7642452120780945, 0.013940121978521347, 0.915760338306427, 0.999947190284729)",10
"(0.50125652551651, 0.5958973169326782, 0.06469658762216568, 0.9999845623970032, 0.999996542930603)","(0.5126535296440125, 0.5955010652542114, -0.06484705954790115, 0.9999828934669495, 0.9999954700469971)","(0.5437793135643005, 0.6568687558174133, 0.1701238751411438, 0.662498414516449, 0.9999481439590454)","(0.5631997585296631, 0.6315577030181885, -0.046260762959718704, 0.9605244994163513, 0.9999816417694092)","(0.5351967811584473, 0.7388119697570801, 0.2338332086801529, 0.810346245765686, 0.9998669624328613)","(0.5748720169067383, 0.7474006414413452, -0.004569619428366423, 0.9404914975166321, 0.9998475313186646)","(0.5432950854301453, 0.7689090371131897, 0.23773330450057983, 0.8439956307411194, 0.9995856881141663)","(0.5692259669303894, 0.7710338830947876, -0.00015745028213132173, 0.9171065092086792, 0.9997645020484924)",10
"(0.4712980091571808, 0.6434655785560608, 0.050689343363046646, 0.9999814629554749, 0.9999995231628418)","(0.49754828214645386, 0.6331894397735596, -0.05078669264912605, 0.9999885559082031, 0.9999995231628418)","(0.5150569081306458, 0.7169516086578369, 0.14078643918037415, 0.8203046917915344, 0.9999830722808838)","(0.5467280149459839, 0.6897334456443787, -0.0347885899245739, 0.9725939035415649, 0.9999891519546509)","(0.5389702916145325, 0.8243774771690369, 0.1429191380739212, 0.8764795064926147, 0.9999374151229858)","(0.569674015045166, 0.8154010772705078, -0.04065761715173721, 0.9659603834152222, 0.9999178647994995)","(0.5391419529914856, 0.8468012809753418, 0.14069333672523499, 0.9409480094909668, 0.9997987151145935)","(0.5671864748001099, 0.8438215851783752, -0.040941111743450165, 0.9462089538574219, 0.9998677968978882)",11
"(0.4708678722381592, 0.6422338485717773, 0.04407792538404465, 0.9999789595603943, 0.9999978542327881)","(0.4982244670391083, 0.6354660391807556, -0.04417233541607857, 0.9999867677688599, 0.9999979734420776)","(0.5169354677200317, 0.7193515300750732, 0.15251140296459198, 0.7923710346221924, 0.9999210834503174)","(0.542650580406189, 0.690924882888794, 0.04158243164420128, 0.9626182913780212, 0.9999337196350098)","(0.5386337637901306, 0.8287962079048157, 0.20606844127178192, 0.8692134618759155, 0.9996204376220703)","(0.5716474652290344, 0.767539381980896, 0.13821783661842346, 0.9503598809242249, 0.999669075012207)","(0.5369095206260681, 0.8514323830604553, 0.2098655104637146, 0.9336228370666504, 0.9989393353462219)","(0.5723831057548523, 0.7871281504631042, 0.14874237775802612, 0.937118649482727, 0.9996979236602783)",11
"(0.46946102380752563, 0.6364446878433228, 0.046056345105171204, 0.9999767541885376, 0.9999977350234985)","(0.4930698871612549, 0.6338039636611938, -0.046130478382110596, 0.999984860420227, 0.9999977350234985)","(0.5158786773681641, 0.7134240865707397, 0.13828684389591217, 0.7829466462135315, 0.9999409914016724)","(0.5372468829154968, 0.688230574131012, 0.0451994389295578, 0.9545033574104309, 0.9999308586120605)","(0.5362654328346252, 0.825163722038269, 0.19198831915855408, 0.8652018308639526, 0.999671220779419)","(0.5641983151435852, 0.7276289463043213, 0.14703015983104706, 0.9395661950111389, 0.9997314810752869)","(0.5344560146331787, 0.8477921485900879, 0.19564323127269745, 0.9286164045333862, 0.9989855885505676)","(0.5651273131370544, 0.7430082559585571, 0.15723802149295807, 0.9300086498260498, 0.9997524619102478)",11
"(0.4681115448474884, 0.6254663467407227, 0.0449674092233181, 0.999973475933075, 0.9999963045120239)","(0.49185916781425476, 0.6252766847610474, -0.04507116600871086, 0.9999803900718689, 0.9999936819076538)","(0.5085095167160034, 0.7014654278755188, 0.11744924634695053, 0.7654322385787964, 0.9999591112136841)","(0.5299423933029175, 0.6364319920539856, 0.06887389719486237, 0.9251087307929993, 0.9999347925186157)","(0.52384352684021, 0.8185782432556152, 0.12874574959278107, 0.8616522550582886, 0.9997949004173279)","(0.5491610169410706, 0.71551114320755, 0.15811844170093536, 0.9091211557388306, 0.9998059868812561)","(0.5192564725875854, 0.8466092348098755, 0.12798111140727997, 0.9274365305900574, 0.9993000030517578)","(0.5482988357543945, 0.7314980626106262, 0.1672714650630951, 0.912579357624054, 0.9998155236244202)",11
"(0.46957966685295105, 0.611418604850769, 0.0458252839744091, 0.9999597668647766, 0.999988317489624)","(0.49497851729393005, 0.6143585443496704, -0.04593547806143761, 0.9999700784683228, 0.9999866485595703)","(0.5043132901191711, 0.7022422552108765, 0.13321493566036224, 0.7089989185333252, 0.9997969269752502)","(0.5240210294723511, 0.6714380979537964, 0.06775250285863876, 0.8698142766952515, 0.9997673630714417)","(0.5135013461112976, 0.8181993961334229, 0.17008332908153534, 0.8122825026512146, 0.998791515827179)","(0.5217593312263489, 0.7758504748344421, 0.16488881409168243, 0.8489171266555786, 0.9982216954231262)","(0.5105038285255432, 0.8461073040962219, 0.17208647727966309, 0.8972297310829163, 0.996422290802002)","(0.5155940055847168, 0.7945668697357178, 0.17465448379516602, 0.8622512817382812, 0.9984517097473145)",11
"(0.4714001417160034, 0.6930691599845886, 0.03926365077495575, 0.9999747276306152, 0.9999997615814209)","(0.49595552682876587, 0.6860160231590271, -0.039394233375787735, 0.9999635815620422, 0.9999998807907104)","(0.5030613541603088, 0.7789244651794434, 0.11800391227006912, 0.839108407497406, 0.9999823570251465)","(0.5248396992683411, 0.7707883715629578, 0.02934115193784237, 0.876948893070221, 0.9999909400939941)","(0.5012662410736084, 0.9031737446784973, 0.1509433388710022, 0.8617299199104309, 0.9999771118164062)","(0.5293920040130615, 0.8917070627212524, 0.059529054909944534, 0.8182638883590698, 0.9999599456787109)","(0.49823707342147827, 0.9224507808685303, 0.15117357671260834, 0.9344063997268677, 0.999931812286377)","(0.5265972018241882, 0.9118526577949524, 0.06068962439894676, 0.8386379480361938, 0.9999442100524902)",12
"(0.47058337926864624, 0.6917803287506104, 0.029971808195114136, 0.9999757409095764, 0.9999991655349731)","(0.494839608669281, 0.684667706489563, -0.03011445701122284, 0.9999660849571228, 0.9999991655349731)","(0.5011675357818604, 0.7815791964530945, 0.10050346702337265, 0.8389467597007751, 0.9999829530715942)","(0.5274611711502075, 0.753183126449585, 0.07227598875761032, 0.8711411356925964, 0.9999775886535645)","(0.5006782412528992, 0.9043330550193787, 0.10596411675214767, 0.8701423406600952, 0.9999574422836304)","(0.5480999946594238, 0.840968132019043, 0.13155506551265717, 0.8228446841239929, 0.9999221563339233)","(0.49557894468307495, 0.9250000715255737, 0.1041446402668953, 0.9373978972434998, 0.99985671043396)","(0.5480301976203918, 0.8633394241333008, 0.13670231401920319, 0.8459604382514954, 0.999919056892395)",12
"(0.4710290729999542, 0.6885581612586975, 0.02561543509364128, 0.9999774098396301, 0.9999995231628418)","(0.4984501302242279, 0.6787464618682861, -0.02578565664589405, 0.9999680519104004, 0.9999988079071045)","(0.5007007122039795, 0.7744798064231873, 0.09792028367519379, 0.8490146994590759, 0.9999967813491821)","(0.5378145575523376, 0.6969832181930542, 0.09225000441074371, 0.8480135202407837, 0.9999873638153076)","(0.5004317164421082, 0.9031487703323364, 0.10961165279150009, 0.881801962852478, 0.9999665021896362)","(0.5412312746047974, 0.7912521362304688, 0.17727792263031006, 0.8182989954948425, 0.9999600648880005)","(0.49556365609169006, 0.9239072799682617, 0.10858266800642014, 0.9422311782836914, 0.9998525381088257)","(0.5390005111694336, 0.8107588291168213, 0.18547464907169342, 0.8448237180709839, 0.9999510049819946)",12
"(0.4708492159843445, 0.6832296848297119, 0.017133614048361778, 0.99997878074646, 0.9999995231628418)","(0.49796783924102783, 0.6726507544517517, -0.01732884719967842, 0.9999701380729675, 0.9999992847442627)","(0.49845150113105774, 0.7737870216369629, 0.07820099592208862, 0.8633146286010742, 0.9999963045120239)","(0.5335302352905273, 0.6750701069831848, 0.10120098292827606, 0.8555195331573486, 0.9999945163726807)","(0.5005525350570679, 0.9015698432922363, 0.07097703218460083, 0.8934162259101868, 0.9999620914459229)","(0.5374586582183838, 0.7793601751327515, 0.17898444831371307, 0.8313980102539062, 0.9999818801879883)","(0.4964115023612976, 0.9233171343803406, 0.0675380527973175, 0.9477640390396118, 0.9998295307159424)","(0.5360323190689087, 0.7994248867034912, 0.18591192364692688, 0.8553308844566345, 0.9999759197235107)",12
"(0.47072938084602356, 0.6716236472129822, 0.021392274647951126, 0.9999781847000122, 0.9999982118606567)","(0.4976808726787567, 0.6626339554786682, -0.02158476412296295, 0.999970555305481, 0.9999977350234985)","(0.4966774880886078, 0.7698124647140503, 0.08811899274587631, 0.867583692073822, 0.9999877214431763)","(0.5324811339378357, 0.6523621678352356, 0.08582396805286407, 0.8206090927124023, 0.9999868869781494)","(0.5015422701835632, 0.8949549198150635, 0.09713171422481537, 0.9014096260070801, 0.9997393488883972)","(0.5326763987541199, 0.7715133428573608, 0.15407676994800568, 0.8081854581832886, 0.9999197721481323)","(0.4975583255290985, 0.9169549345970154, 0.09612925350666046, 0.9515237808227539, 0.9988664388656616)","(0.5272712111473083, 0.7934823632240295, 0.16029274463653564, 0.8409198522567749, 0.9998823404312134)",12
"(0.4221031665802002, 0.6616740822792053, 0.025547731667757034, 0.9999877214431763, 0.9999971389770508)","(0.4500080645084381, 0.6472051739692688, -0.025693926960229874, 0.9999842643737793, 0.99998939037323)","(0.45623862743377686, 0.7403176426887512, 0.07428082078695297, 0.7459380626678467, 0.9999916553497314)","(0.4932065010070801, 0.7056668996810913, -0.009667332284152508, 0.884299099445343, 0.9999734163284302)","(0.49277445673942566, 0.8153576254844666, 0.07565874606370926, 0.8068059086799622, 0.9999322891235352)","(0.4610878527164459, 0.7136006951332092, 0.07206007093191147, 0.8480648398399353, 0.9999550580978394)","(0.4952026605606079, 0.8298285603523254, 0.0740261822938919, 0.9028424620628357, 0.9997743964195251)","(0.45242172479629517, 0.7092479467391968, 0.16084665060043335, 0.8792272210121155, 0.9999474287033081)",13
"(0.4279229938983917, 0.6670405268669128, 0.04843929037451744, 0.9999853372573853, 0.9999935626983643)","(0.4497622549533844, 0.6572744846343994, -0.048582058399915695, 0.9999821186065674, 0.9999852180480957)","(0.47111549973487854, 0.7391025424003601, 0.1482071727514267, 0.7213239073753357, 0.999977707862854)","(0.5099058747291565, 0.7223542928695679, -0.042670682072639465, 0.8942627906799316, 0.9999607801437378)","(0.5000896453857422, 0.8237137198448181, 0.18650618195533752, 0.8142491579055786, 0.9998540878295898)","(0.4942587614059448, 0.8010660409927368, 0.052329499274492264, 0.8593593239784241, 0.9998006224632263)","(0.4995390772819519, 0.8426249027252197, 0.18841597437858582, 0.9025607109069824, 0.9994972944259644)","(0.4855158030986786, 0.8098016381263733, 0.06064677610993385, 0.8839949369430542, 0.999754011631012)",13
"(0.4317381680011749, 0.670314610004425, 0.05271272361278534, 0.9999843835830688, 0.9999991655349731)","(0.45501306653022766, 0.6605424284934998, -0.05286664515733719, 0.9999826550483704, 0.9999994039535522)","(0.46848613023757935, 0.7408380508422852, 0.14562800526618958, 0.7087355256080627, 0.9999924898147583)","(0.500845730304718, 0.7220807671546936, -0.025831060484051704, 0.9026111364364624, 0.999995231628418)","(0.49430373311042786, 0.8224862217903137, 0.19256243109703064, 0.8226990699768066, 0.9999858140945435)","(0.5372564792633057, 0.7994278073310852, 0.03195159137248993, 0.8725211024284363, 0.9999850988388062)","(0.4964039921760559, 0.8396539688110352, 0.19527162611484528, 0.9000145196914673, 0.999945878982544)","(0.5380401015281677, 0.8158722519874573, 0.03573651239275932, 0.8936284184455872, 0.9999797344207764)",13
